,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5 LINK ID,ITS LINK ID,도로등급,도로명,권역,연장(km),차선수,전체-평일,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0~1시,1~2시,2~3시,3~4시,4~5시,5~6시,6~7시,7~8시,8~9시,9~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시
1014019,"1150004003,1150004002,1150004001",특별광역시도,양천로,서울특별시 강서구,0.4710,4,21,21,23,22,22,21,33,28,26,27,27,26,24,25,24,24,21,16,15,23,28,30,33,36
1014020,"1150338500,1150338500,1150338300,1150016805,1150016805",특별광역시도,방화대로,서울특별시 강서구,0.6450,6,36,37,38,37,36,37,38,37,35,35,36,36,36,36,36,35,35,35,35,36,37,37,36,36
1014021,"1150016905,1150016905,1150338700,1150338800,1150338800",특별광역시도,방화대로,서울특별시 강서구,0.6450,6,32,32,32,33,31,30,31,31,30,29,29,30,29,29,29,28,27,27,23,27,30,30,29,30
1014023,1150019902,특별광역시도,강서로,서울특별시 강서구,0.2270,3,50,51,52,51,46,51,43,38,40,42,41,40,40,39,39,38,34,31,29,35,38,38,40,46
1014024,"1150019803,1150019801",특별광역시도,강서로,서울특별시 강서구,0.1240,6,26,27,27,28,23,27,19,18,14,15,15,16,16,14,15,15,18,17,16,20,19,20,21,23
1014025,"1150019901,1150019902",특별광역시도,강서로,서울특별시 강서구,0.1240,6,48,48,48,47,44,47,43,45,45,44,42,42,42,41,42,42,42,42,40,42,42,41,42,46
1014026,1150096700,연결로,올림픽대로,서울특별시 강서구,0.0850,1,43,43,44,44,40,44,32,21,24,26,26,27,29,27,26,25,21,18,19,27,34,34,36,39
1014027,1150110800,특별광역시도,강서로,서울특별시 강서구,0.0240,1,46,45,45,46,40,44,35,23,8,19,10,21,21,7,11,15,16,17,28,34,37,37,41,43
1014029,"1150018600,1150018600,1150018600,1150018600",특별광역시도,강서로,서울특별시 강서구,0.2870,6,25,39,40,41,32,41,25,20,16,17,21,21,20,20,20,20,18,17,16,20,26,27,29,23
1014030,"1150018700,1150018700,1150018700,1150018700",특별광역시도,강서로,서울특별시 강서구,0.2870,6,34,31,31,31,27,32,27,27,28,27,22,21,20,19,20,19,22,22,20,24,20,20,21,29
1014031,1150109000,특별광역시도,-,서울특별시 강서구,0.3890,5,46,52,52,53,42,48,39,44,48,45,44,46,46,44,44,45,44,43,43,45,44,43,42,42
1014032,"1150108500,1150108500,1150108000",특별광역시도,-,서울특별시 강서구,0.2120,2,39,38,41,42,38,40,39,43,44,43,42,41,41,41,41,40,41,42,40,39,35,35,33,34
1014033,1150108300,특별광역시도,-,서울특별시 강서구,0.2780,1,40,39,38,39,40,42,41,44,46,43,42,40,41,41,41,41,43,42,40,40,39,36,36,39
1014034,1150108900,특별광역시도,-,서울특별시 강서구,0.0270,3,33,34,28,31,32,33,33,35,35,35,33,32,32,32,32,32,34,34,33,32,32,30,29,30
1014036,1150016702,일반국도,개화동로,서울특별시 강서구,0.2800,4,50,50,52,50,42,50,34,23,21,32,33,34,37,34,31,29,28,16,10,29,37,39,45,48
1014038,1150073700,특별광역시도,개화동로,서울특별시 강서구,0.4070,2,68,68,68,68,54,66,39,28,27,41,44,46,48,47,45,45,42,28,14,46,53,55,59,64
1014041,"1150057700,1150057700,1150012701,1150012701,1150012701,1150012701,1150012701,1150012701",특별광역시도,남부순환로,서울특별시 강서구,0.8270,4,54,55,56,55,44,50,43,40,39,44,44,45,46,46,46,46,45,44,42,47,48,49,49,53
1014043,1150109700,특별광역시도,-,서울특별시 강서구,0.0240,2,39,46,45,41,39,40,41,43,44,42,43,41,42,41,41,41,42,41,39,38,38,38,36,37
1014044,"1150109600,1150109600,1150109600",특별광역시도,-,서울특별시 강서구,0.4130,1,58,54,57,51,54,54,54,52,52,52,52,51,51,50,50,50,50,49,46,50,51,51,52,52
1014046,"1150001402,1150001402,1150001401,1150001401,1150001802,1150001802,1150001802",일반국도,공항대로,서울특별시 강서구,1.1720,4,37,40,42,42,36,39,31,18,13,16,17,17,19,16,16,17,18,20,20,23,28,30,30,34
1014047,"1150014302,1150014302,1150014302,1150014302,1150014303,1150014304,1150014304,1150014305,1150428800,1150429400,1150429400,1150017102,1150017103,1150017104,1150017104",특별광역시도,강서로,서울특별시 강서구,1.1240,6,35,31,30,30,34,31,32,35,33,31,29,27,27,26,26,26,23,21,17,27,29,30,33,33
1014048,"1150017004,1150017004,1150017003,1150017002,1150429100,1150429100,1150428700,1150014205,1150014204,1150014204,1150014203,1150014202,1150014202,1150014202,1150014202",특별광역시도,강서로,서울특별시 강서구,1.1240,6,35,34,34,34,43,34,39,36,34,30,31,29,31,28,27,28,29,26,21,31,32,33,35,32
1014049,"1150012402,1150012402,1150012402,1150012402,1150012401,1150012401",특별광역시도,강서로,서울특별시 강서구,0.4140,6,30,30,35,34,32,31,30,28,27,27,24,23,23,22,22,20,18,15,14,20,22,23,25,29
1014050,"1150012501,1150012501,1150012502,1150012502,1150012502,1150012502",특별광역시도,강서로,서울특별시 강서구,0.4140,6,37,40,37,35,36,38,33,26,14,25,27,27,28,28,29,28,28,27,27,29,31,32,33,35
1014051,1150002301,도시고속도로,올림픽대로,서울특별시 강서구,0.8000,4,99,98,97,97,76,93,33,18,21,22,23,32,49,46,40,35,29,30,42,59,78,82,87,92
1014053,1150002404,도시고속도로,올림픽대로,서울특별시 강서구,1.0460,4,88,88,88,87,83,85,78,59,47,69,72,72,74,73,72,68,61,53,46,54,67,75,78,82
1014054,1150082400,연결로,올림픽대로,서울특별시 강서구,0.0580,2,76,76,76,75,69,74,69,63,45,65,65,65,66,65,66,66,68,69,69,67,65,66,67,71
1014055,"1150078200,1150078200",특별광역시도,화곡로,서울특별시 강서구,0.3090,2,36,38,41,41,35,38,32,25,20,20,24,26,26,23,22,21,20,19,19,18,18,22,26,30
1014058,1150022204,일반국도,방화대로,서울특별시 강서구,0.0480,8,47,47,45,44,46,46,46,32,33,44,43,43,44,43,43,37,19,12,14,29,44,45,45,45
1014059,1150053000,일반국도,방화대로,서울특별시 강서구,0.0480,8,42,41,41,42,44,44,44,41,43,45,44,43,44,44,44,44,42,39,39,44,45,46,46,43
1014060,"1150054500,1150054500,1150054500,1150056000",특별광역시도,남부순환로,서울특별시 강서구,0.3390,2,52,52,52,53,46,50,42,44,46,45,43,44,45,45,45,45,45,45,46,47,47,48,49,50
1014061,1150063800,특별광역시도,화곡로,서울특별시 강서구,0.1700,1,32,32,32,31,29,29,27,20,20,22,24,23,24,24,24,23,23,20,19,24,25,26,27,29
1014064,1150064700,특별광역시도,공항대로,서울특별시 강서구,0.1620,1,31,31,32,32,29,31,27,25,24,25,26,26,27,26,27,27,27,26,25,26,27,28,28,30
1014071,1150012203,특별광역시도,화곡로,서울특별시 강서구,0.1030,6,45,46,46,47,44,46,42,40,38,37,36,35,36,33,31,25,21,15,14,19,26,31,35,40
1014072,1150012303,특별광역시도,화곡로,서울특별시 강서구,0.1030,6,36,32,20,19,26,20,20,14,14,15,16,16,18,17,18,17,16,16,17,22,21,21,23,28
1014073,1150001404,일반국도,공항대로,서울특별시 강서구,0.0770,4,51,50,50,50,48,48,47,43,40,41,42,42,44,43,43,43,43,43,42,43,44,45,46,48
1014076,1150001405,일반국도,공항대로,서울특별시 강서구,0.0500,4,47,46,44,43,45,44,45,43,40,41,42,41,42,41,41,41,41,40,39,41,42,43,43,45
1014077,1150106300,특별광역시도,화곡로,서울특별시 강서구,0.1370,1,19,25,20,21,19,20,16,17,21,18,21,18,18,18,17,17,16,15,13,14,19,18,19,24
1014079,1150013206,특별광역시도,화곡로,서울특별시 강서구,0.0350,6,29,32,33,33,30,32,28,29,26,26,26,24,27,24,26,23,21,14,10,19,24,27,28,29
1014080,1150013301,특별광역시도,화곡로,서울특별시 강서구,0.0350,6,46,45,44,44,41,44,36,27,27,30,31,32,33,32,32,32,29,26,26,34,35,36,37,41
1014082,"1150061300,1150061300",특별광역시도,공항대로,서울특별시 강서구,0.1880,2,32,32,32,33,31,32,29,26,25,26,24,23,24,22,23,19,17,16,14,22,27,27,28,30
1014083,"1150012202,1150012201",특별광역시도,화곡로,서울특별시 강서구,0.1960,6,43,40,33,35,44,34,42,34,32,31,31,31,31,30,26,23,22,20,19,22,23,26,29,38
1014094,"1150010102,1150010102,1150010102,1150010102,1150010102,1150010103,1150010103",특별광역시도,화곡로,서울특별시 강서구,0.7050,6,38,39,38,39,36,37,33,32,32,32,31,32,32,33,32,33,32,32,32,32,32,34,35,37
