LINK ID,avg_congestion_score,max_volume,total_volume
1090230,0.72666779,1484,25881
1064587,0.726658255,1387,24189
1016649,0.726648798,2052,35786
1064988,0.726580215,1176,20507
1036494,0.726555771,1548,26993
1017911,0.726476793,1580,27548
8102576,0.726424172,1732,30196
1018306,0.726412965,1846,32183
1064910,0.726404899,694,12099
8892061,0.726380446,1316,22942
1064750,0.72636763,1176,20501
1036562,0.726321398,1955,34079
1065556,0.72626888,1898,33083
1017464,0.726218709,1265,22048
8899655,0.726173295,3118,54341
8895117,0.726162645,6630,115547
8902752,0.726145414,4227,73666
8901473,0.726140245,1659,28912
1036037,0.726135867,763,13297
1090736,0.726104942,1531,26680
1014426,0.726086109,1711,29816
1036975,0.726084263,1345,23438
8138200,0.72606982,1036,18053
1065590,0.726052049,1806,31470
1014083,0.726042315,1607,28002
1014860,0.726025071,2699,47029
8102688,0.725923893,4555,79358
8570442,0.725910302,1126,19617
1065502,0.725906607,671,11690
1064619,0.72577951,449,7821
7107089,0.725689448,5560,96836
1092322,0.725652053,1802,31383
1037329,0.725482939,2364,41161
1064457,0.725471085,513,8932
8903305,0.725467535,4759,82860
1036752,0.725451005,3252,56620
1036523,0.725415327,622,10829
1016953,0.725400641,520,9053
1017352,0.725392635,2462,42862
1036844,0.725342448,6254,108871
1018156,0.725337838,1110,19323
1017372,0.725334667,6997,121804
8102555,0.725279277,7042,122578
7104864,0.725273752,5175,90079
1035520,0.725145943,2855,49687
1085539,0.725145219,1492,25966
8102575,0.725109838,6373,110907
8897470,0.725068871,1210,21056
8901750,0.725007562,1102,19175
1097545,0.72498704,643,11188
1036150,0.724919802,1143,19886
7107060,0.724849483,4097,71273
1036996,0.724716652,1147,19950
1018349,0.724709155,659,11462
1036289,0.724669148,1209,21027
1018202,0.724604835,717,12469
1085205,0.72460216,1173,20399
1036389,0.724560514,4930,85730
8905771,0.724446406,3116,54177
1089632,0.724312298,1236,21486
8897149,0.724303432,981,17053
8902355,0.724259642,1936,33652
1097726,0.724248173,1186,20615
5104315,0.724247471,1351,23483
8901129,0.72424387,5764,100189
1096699,0.72415199,511,8881
8903232,0.724111773,6042,105002
1065587,0.724095967,1438,24990
8903299,0.724058645,4621,80301
1016864,0.724006116,1199,20834
8897258,0.724006116,1199,20834
8897088,0.723962241,1333,23161
1090745,0.723891731,391,6793
1035511,0.723851901,1517,26354
1035558,0.723802352,5810,100927
1013682,0.723788444,2146,37278
8903190,0.723774652,5189,90136
8901686,0.72376668,2473,42957
1064434,0.723663522,424,7364
1017875,0.723623853,981,17037
1018608,0.723617802,1453,25234
1064964,0.723604529,633,10993
1085237,0.723498498,555,9637
8102787,0.723246313,2509,43551
8902706,0.723244772,1562,27113
1017790,0.72316073,2723,47260
1065296,0.723020676,661,11470
1036747,0.722910304,5894,102260
1092251,0.72288971,1082,18772
1088943,0.722862391,998,17314
1017930,0.722857579,1093,18962
1064461,0.722764228,1230,21336
8901744,0.722543805,1598,27711
1092243,0.722507488,6232,108064
1036252,0.722438291,1607,27863
8901547,0.722413463,1743,30220
1036170,0.722350715,1189,20613
1018104,0.722308168,1616,28014
8899647,0.722305254,1840,31897
1017928,0.722301062,3171,54970
1037241,0.722238457,1711,29658
8624100,0.722181009,674,11682
1065035,0.722172619,560,9706
1035529,0.722104398,5776,100101
5103185,0.722095238,1750,30328
1065193,0.722056314,586,10155
5103161,0.722000532,1253,21712
8903067,0.721754514,1366,23662
1018586,0.721728226,1462,25324
1038289,0.721702039,801,13874
8102590,0.721663337,3504,60689
1016844,0.721659297,1357,23503
1014053,0.721641179,5689,98530
8903109,0.721543179,1984,34357
5103271,0.72136392,2136,36980
1065265,0.721336875,753,13036
1092238,0.721229187,2042,35346
1065186,0.721204188,382,6612
1013917,0.721174715,1843,31899
1018415,0.721115819,1770,30633
1037214,0.721085409,843,14589
1015095,0.721051632,3073,53179
1013731,0.721025641,325,5624
8641800,0.720971768,5809,100515
1064500,0.720846233,323,5588
1094922,0.720835619,1823,31538
8897147,0.720797995,1297,22437
