LINK ID,CO2_Hour_0,CO2_Hour_1,CO2_Hour_2,CO2_Hour_3,CO2_Hour_4,CO2_Hour_5,CO2_Hour_6,CO2_Hour_7,CO2_Hour_8,CO2_Hour_9,CO2_Hour_10,CO2_Hour_11,CO2_Hour_12,CO2_Hour_13,CO2_Hour_14,CO2_Hour_15,CO2_Hour_16,CO2_Hour_17,CO2_Hour_18,CO2_Hour_19,CO2_Hour_20,CO2_Hour_21,CO2_Hour_22,CO2_Hour_23
8902512,1004.388303,465.4482378,346.4614703,377.9579676,633.4295568,1753.305016,1949.283222,2344.739243,2810.187481,2344.739243,2050.771935,2099.766486,2204.754811,1994.778162,2229.252086,2442.728346,2148.761038,2488.223286,2096.266876,2201.2552,1490.834205,1571.325254,1571.325254,1455.838097
8902513,669.2735816,746.4974564,337.4969343,297.4549252,603.4902808,1730.386824,1896.275148,3357.808482,3246.262885,3006.01083,3026.031835,2762.898632,2694.255187,2925.926812,2951.668103,3166.178867,3489.375084,3652.403264,3094.675279,2273.814091,2162.268494,1644.582519,1415.771038,712.1757343
8902514,8265.641923,6976.201783,4397.321503,3339.319337,3703.007581,6777.826377,10282.45855,10646.1468,15803.90736,18548.10048,14183.84154,17159.47263,19374.66467,18812.60102,18944.85129,17721.53628,18647.28818,19044.03899,23176.85995,17655.41115,15671.65709,12729.08856,13158.90194,8530.142464
8902518,13051.06991,8594.607014,5952.561154,4456.462896,4997.604819,13783.2031,27916.55686,52745.42156,46028.89534,44819.28398,40139.99794,44660.12459,38389.24466,39535.19226,41795.25559,46761.02853,44341.80582,52045.12025,48416.28618,46092.5591,35269.72064,24574.20968,23778.41274,16934.55901
8902519,4051.293232,2395.290159,2336.147192,1596.860106,4554.008451,7038.01306,10113.44734,11207.59223,9403.731736,9758.589537,10557.01959,10497.87662,11296.30668,13011.45272,11207.59223,12360.88008,16234.74441,16619.1737,10852.73442,10261.30476,8812.302067,7688.585696,8013.872014,5411.581471
8902520,1598.878081,2217.798628,3429.851367,696.2856159,2914.084244,5312.401366,5931.321913,8252.273966,8355.427391,7736.506843,5776.591776,6240.782187,5518.708215,5235.036297,5518.708215,5957.110269,5312.401366,5776.591776,4977.152736,5570.284927,5879.745201,4719.269174,4306.655476,4409.808901
8902521,10946.10385,7088.90535,4013.571411,4847.560276,7167.091806,17487.70401,29867.22622,50247.8291,55251.76229,50638.76138,41725.50539,37607.68537,38571.98499,37868.30689,40761.20576,40187.83842,37685.87182,37242.81524,39327.7874,30362.40711,23951.11771,23325.62606,19416.30326,16810.08805
8902522,42805.41803,40379.20001,24002.22833,14643.9588,17330.12876,43671.92447,96008.91332,143146.8635,141847.1039,145053.1777,137254.6198,143320.1648,134568.4498,131795.6292,134395.1485,136301.4627,147392.7451,160736.9442,138814.3313,135868.2095,110046.3176,78072.23005,93582.69529,42892.06867
8902523,18109.14761,12184.8093,8697.432845,8235.250424,11932.7098,30546.05642,51386.28198,82226.45448,88949.10789,82058.38815,68066.86575,62646.72644,64075.29028,68108.88233,68739.13109,68318.96525,64789.57221,62688.74302,66260.15264,49201.41962,38823.32343,38403.15759,34369.56554,30756.13934
8902526,837.9837433,1253.484016,412.0086738,736.7273743,974.1561016,1902.921417,2157.808139,2775.82115,3285.594594,2835.178332,2622.190797,2723.447166,2562.833615,2849.144727,2733.921963,3013.249877,3330.98538,3708.078064,3756.960449,3428.75015,2374.287273,2356.829278,2112.417353,2070.518166
8902527,1099.102843,913.2487176,817.1172736,512.7010344,967.7232025,1618.21264,3130.680692,3553.659045,3938.184821,3127.47631,2842.28636,2611.570894,2592.344605,2643.614709,2771.789967,2624.38842,2710.90672,2765.381205,2653.227853,2505.826306,2255.884552,2217.431974,1845.723724,1432.358515
8902528,33134.69581,27771.85487,25090.4344,24515.8443,15705.46276,43094.25756,44434.9678,80442.61411,57075.95001,72972.9428,76803.54348,85996.98509,70866.11243,69908.46227,74505.18307,84656.27485,85422.39499,90785.23593,90785.23593,76228.95338,90976.76596,77569.66361,63779.50119,59182.78038
8902529,31594.21417,30043.57789,16087.85139,15894.02185,39347.39557,56985.88323,81602.23415,113584.1074,100791.3581,83346.69997,74236.71183,67258.84858,64932.89416,68034.16672,62413.11021,67258.84858,71329.26881,74818.20044,68227.99625,77531.81392,67452.67811,74624.3709,56598.22416,45162.28161
8902530,2643.532991,1904.239866,1758.621524,683.2860697,940.9185222,4290.140405,4760.599666,5343.073037,4435.758748,4895.016598,5130.246228,5735.122421,5264.66316,5376.67727,4973.426475,5040.634941,5936.747819,7280.917136,7348.125602,6261.588737,4693.3912,4446.960159,4256.536172,3102.790841
8902531,7347.482427,6856.090291,3158.949451,3860.938218,5428.713131,11465.81653,12238.00417,22136.04578,15771.34763,13688.78096,13524.98358,13173.98919,13080.39069,12822.99481,13080.39069,13805.77908,13361.1862,12916.59331,12238.00417,10319.23487,10436.233,10249.036,9804.443112,8330.266701
8902532,710.3463836,679.9752793,512.9342057,544.9925936,700.2226822,1478.060409,1726.091094,2817.763564,3119.787324,3359.381591,3129.911025,2473.557716,2488.743268,2652.409774,2692.90458,3259.83186,3416.749232,3556.793769,3210.900637,2802.578012,2313.265777,2092.231629,1694.032706,1103.483456
8902533,528.512638,298.5753215,195.6183141,181.8907131,562.8316405,744.7223536,1486.012807,1719.382024,1619.856917,1564.946513,1527.19561,1362.464398,1424.238602,1479.149006,1403.647201,1310.985894,1441.398104,700.1076504,785.9051565,693.2438499,789.3370568,665.7886479,638.3334459,507.9212365
8902534,2143.646358,1665.290906,1107.635887,1028.33632,1256.002818,2353.406503,3583.828816,4890.992645,5530.505282,5141.681599,4878.202393,4072.41647,4044.277914,4292.408817,4422.869395,4522.633367,4780.996472,4653.093945,4220.783402,3762.892354,3860.098275,3885.678781,3611.967372,2371.312857
8902535,499.7063194,520.2421955,270.3890358,397.0269387,215.6266995,677.6839126,711.9103728,824.8576916,561.3139478,941.2276563,893.310612,1447.779268,1173.967586,1208.194046,1204.7714,1492.273666,1540.19071,1581.262463,1653.138029,1509.386896,1249.265798,705.0650808,677.6839126,598.963054
8902536,18532.28876,18700.76411,10894.73945,16903.69368,8536.084518,17016.01058,17184.48594,29202.3944,32796.53525,35435.98244,35042.87328,37120.73596,38356.22188,38131.58808,38580.85568,36896.10216,37513.84512,44926.76062,52508.15147,41051.82752,34705.92258,36334.51765,29820.13736,19318.50707
8902538,72635.83578,43499.03884,35871.2453,31541.95707,36077.40188,69474.76819,102734.6968,153449.216,155167.1875,148638.8957,143278.8246,127336.0489,125411.9208,132283.8069,132352.5258,135651.0311,141354.6965,139018.2552,134620.2482,112424.0561,113248.6825,107751.1736,99436.19147,67413.20237
8902539,20177.21433,14520.59644,9563.76633,14812.17468,12246.28615,20702.05516,31490.45011,52484.08352,62805.95327,56624.49455,53242.18695,47585.56905,44436.52404,46594.20303,46477.57174,47527.25341,44844.73358,49160.09156,54875.0251,49568.3011,37963.48708,30848.97798,26650.2513,16386.69719
8902540,15870.178,11247.79606,10066.52067,5392.778931,8114.848296,21365.67653,40317.44248,55057.70489,54954.98529,50589.40235,44426.22643,41858.23646,42988.15205,43809.90884,43193.59124,43244.95104,44734.38522,38519.8495,33794.74797,27374.77305,29634.60422,27734.29164,23676.8675,19824.88255
8902542,694.9368835,496.7821898,410.2639432,460.5003445,580.5095251,881.9279324,482.8276339,1010.309847,1493.137481,1200.091807,1409.410145,1286.610053,1244.746386,1311.728254,1378.710122,1470.810191,1554.537526,1858.746845,2079.228828,1261.491853,1448.482902,1250.328208,1027.055314,1292.191876
8902543,233.7612728,137.6594162,857.1246669,519.4694951,322.071087,792.1909801,864.9167094,1683.081164,2054.501853,1729.833419,1399.970289,1428.541112,953.2265235,1251.921483,1244.129441,1155.819627,1231.142703,1418.151722,953.2265235,945.4344811,992.1867357,651.9342164,1228.545356,438.9517234
8902544,658.3996782,975.1433071,505.3662395,188.6226105,822.1098684,530.2786597,1284.769102,1220.708592,1199.355089,1092.587574,975.1433071,971.5843899,1128.176746,1085.46974,1245.621013,1306.122605,1096.146491,1099.705408,1291.886936,1121.058911,1149.530249,768.7261107,733.1369389,1270.533433
8902545,405.0567497,319.7816445,330.4410326,294.9097388,653.7758065,1080.151332,1357.295424,1829.861632,2142.537018,1645.098904,1680.630198,1254.254672,1293.339095,1385.720459,1399.932977,1357.295424,1499.4206,1335.976648,1137.001403,1176.085826,1435.464271,891.8354752,810.1134994,1062.385686
8902546,44816.01314,31661.82498,26767.24334,24523.89343,24319.95252,49914.53568,74642.37001,111504.688,109567.2494,104519.7121,103398.0371,90039.90809,88969.21835,94118.72612,96056.16469,98503.45551,99064.29299,104519.7121,95495.32721,84839.41509,84176.60716,79434.9812,69594.83269,46600.49603
8902547,38366.13314,38525.65968,30230.27954,28076.67124,35016.07577,63092.74701,86782.43836,132167.7393,149316.8425,150433.5283,147083.4709,119325.8528,123712.8326,133523.7149,132805.8455,135916.613,143015.5441,146604.8913,134480.8742,131370.1066,103931.5415,99065.98203,87978.88742,52723.52184
8902548,1444.186629,1192.54805,835.1483286,601.7444289,557.9811977,696.5647632,1032.082869,1717.706824,2253.806406,2490.857242,2651.322423,2636.734679,2253.806406,2706.026462,2851.903899,3110.836351,3471.883008,4365.382311,3592.231894,2658.616295,2381.449164,2242.865599,1695.825209,878.9115598
8902549,2427.635186,1434.511701,1492.589098,1266.08725,1550.666494,2561.213198,4814.616194,6702.13159,7062.21145,5801.931939,4994.656124,4245.457705,4233.842226,4442.920854,4669.422702,4559.075648,4750.731057,4727.500099,4384.843458,2979.370455,2921.293059,2764.484087,2677.367992,2294.057173
8902550,77552.56701,53185.84188,45333.44209,44362.01119,46952.49359,81276.38546,115843.1351,159152.7628,172833.748,163200.3915,158667.0473,148709.8806,152514.6516,150490.8372,157209.901,161743.2452,165952.7791,168138.4986,147981.3074,132357.4604,127095.543,121995.5308,105643.1106,73990.6537
8902553,91754.57992,58791.26972,43616.08728,38993.18402,48540.48423,96779.47477,143711.9926,204010.7308,209638.6131,188433.5568,171348.9143,168333.9774,178685.2608,180996.7124,185418.6199,184916.1304,185720.1136,196573.8864,167128.0026,152957.7992,157882.1961,146827.4275,140496.0599,102005.3654
8902554,18723.80511,14616.64786,14375.05037,11536.27992,14677.04723,28810.50011,37991.20455,36964.41524,40044.78318,47051.11025,42219.16054,34910.83662,35696.02844,42702.35551,40829.975,41011.17312,45661.92471,47534.30522,42219.16054,34729.6385,33763.24856,34608.83976,27783.7108,21018.98122
8902555,920.3727089,198.5117607,249.6435779,153.3954515,294.7598872,469.2096163,821.1168285,460.1863545,529.3646953,1133.923239,1191.070564,917.364955,995.5665577,887.2874155,974.51228,893.3029234,1028.651851,878.2641536,1082.791422,550.418973,544.4034651,1079.783668,971.5045261,475.2251242
8902556,2928.457356,2057.40161,1603.170085,1389.414074,1758.143194,3746.074099,6936.382569,10623.67377,10821.39808,11671.07822,9116.693885,8502.145353,8106.696732,8881.562273,8999.128079,8662.462361,9031.191481,8491.457552,8539.552655,6086.702424,5263.74178,5445.43439,4307.183629,2928.457356
8902557,994.5655891,176.6051046,190.5476129,167.3100991,234.698889,511.2253028,834.2267441,492.6352918,1259.473246,969.004324,1010.831849,773.8092083,843.5217496,776.1329597,820.2842359,889.9967772,1101.458152,929.5005506,850.4930038,436.8652588,374.1239716,490.3115404,434.5415074,476.3690322
8902558,2724.525384,2531.368734,1474.090226,1189.438321,1474.090226,3075.257197,4274.861657,9459.592798,6968.888622,6912.974855,5789.616441,7192.543691,6872.310297,6165.763602,6445.332438,7477.195597,7726.266014,8610.72015,7772.013642,7289.122016,7538.192434,5982.773091,6145.431323,3598.81338
8902559,8981.064335,7947.529154,6913.993973,6913.993973,9872.04294,14291.29682,22987.248,24626.64863,27549.05846,24662.28778,22559.57827,20421.22962,20635.06449,22310.10426,21347.84737,19779.72502,21134.0125,21240.92994,18532.35498,18354.15926,17071.15007,15574.30601,14683.32741,12295.50475
8902560,39375.01723,29761.71871,19621.6641,17119.57271,28313.13948,39045.79468,74996.89736,103902.6374,111408.9116,93696.73832,95474.5401,92972.44871,92840.75968,97120.65286,93367.51577,96330.51874,100939.6345,103770.9484,94486.87244,90602.04633,80198.61368,78881.72348,71638.82733,49646.76085
8902561,32309.97427,27198.05137,19988.92932,16056.68093,25821.76443,31523.52459,61211.99994,95488.09841,109906.3425,108464.5181,110954.9421,99485.88427,94373.96136,92014.61233,92473.37464,93521.97421,107415.9185,120982.1755,112069.0791,91097.08771,66520.53527,59901.25048,51053.6916,41354.14557
8902562,11824.37703,5547.238605,5510.743614,3868.469027,4890.32877,13247.68167,19086.8802,27809.18301,38538.71031,36458.49583,33575.39156,35728.59602,34122.81642,31677.65203,29159.49767,29816.4075,33757.86651,33976.83646,31203.21715,29962.38747,22407.92437,20802.14477,17663.57556,10036.12248
8902563,19545.89196,11813.45118,10041.4335,7463.953247,9719.248473,19384.79944,26472.87015,35386.65604,41884.05419,39467.66645,36836.48869,39306.57393,38608.50636,38447.41385,45481.78705,42259.93673,44354.13944,45105.90451,42904.30679,37856.74129,33185.05832,28620.77036,25237.82753,20243.95953
8902564,969.8363023,888.6407049,595.4343809,419.5105866,405.977987,929.2385036,433.0431861,1105.162298,1118.694898,1669.020613,1330.705624,2169.726797,2088.5312,2129.128999,1953.205204,852.5537727,2160.705064,2052.444268,1998.313869,1975.759537,1917.118272,1957.716071,1596.846749,613.477847
