LINK ID,Final_CO2_Hour_0,Final_CO2_Hour_1,Final_CO2_Hour_2,Final_CO2_Hour_3,Final_CO2_Hour_4,Final_CO2_Hour_5,Final_CO2_Hour_6,Final_CO2_Hour_7,Final_CO2_Hour_8,Final_CO2_Hour_9,Final_CO2_Hour_10,Final_CO2_Hour_11,Final_CO2_Hour_12,Final_CO2_Hour_13,Final_CO2_Hour_14,Final_CO2_Hour_15,Final_CO2_Hour_16,Final_CO2_Hour_17,Final_CO2_Hour_18,Final_CO2_Hour_19,Final_CO2_Hour_20,Final_CO2_Hour_21,Final_CO2_Hour_22,Final_CO2_Hour_23
1062708,1203.6645244836236,1328.5347458397332,598.6124652321921,1242.955394048603,1986.9794509535159,1504.4807805695225,2179.5999583043513,3127.448919392033,4215.49246639209,3400.1268241604885,3539.5349082624844,4099.427756322054,3728.544381752757,3530.0261825254765,3120.652498175232,3340.956360089624,3700.2322196574983,3842.773812531336,3550.7063368153927,3626.9382751776548,2625.816541895554,2718.654957795328,2667.0786809190613,1893.4981695483884
1062709,24154.802289227708,16467.04778561943,13198.276408737313,6322.816502591735,9563.085573469716,17657.71841602871,28062.51825696507,52024.9621794204,61973.78784008743,70108.52402070885,70579.3755729883,78973.67976323524,81242.34742233674,86767.43443082899,104464.75137890865,115898.26323328252,136234.34245515973,138005.15824684384,137915.49753530722,115747.79965871626,77522.45767997534,77292.41533000654,64772.47576518125,49899.846509050185
1062710,12931.81948570455,12153.226337408367,9465.88102654116,9336.481470747196,19392.53224833402,54262.19868241194,142726.7994625999,191159.02686185672,144011.22754220766,167044.5739605423,154769.05953878764,120948.12600617402,93604.32399261765,115819.78471638047,116358.00081636135,97882.38718786935,81399.81926062657,73929.26231097887,76818.36738036781,53040.15949537049,40425.27638108627,37725.269965429936,40553.78935525609,23500.582878307174
1063421,1305.7135991511568,902.5389487393287,450.06158962432886,831.1150911264544,1294.8392800364934,3814.6229049002063,8398.476620938589,11447.744269953015,12076.185177224766,10955.79529588709,9315.036567888248,7356.298373768588,6488.127216785243,6312.4200529739755,7265.332007428682,6423.003870970264,6620.243345148463,7946.588761556269,7338.2507825854445,5749.563125417595,4235.4920881254875,3940.0528055552168,3442.4883665258294,1883.479253591484
1063422,10466.595442630573,9419.398699165344,5642.94221768965,5201.432312264595,6813.255187796719,12665.177847942317,27151.440718949485,35865.25993833818,38029.72173744491,29982.308604639536,34830.07567939943,34209.44913304937,33736.76544297261,29196.402162249164,32326.756016231775,33576.3818662934,31945.18783153246,26512.931901296506,32071.704391641244,31151.127008556447,26565.534821520745,23444.074823674448,22100.920521689426,22730.053579971096
1063423,94163.30797330476,57281.57210992206,43965.38845531967,34868.465151775905,48238.803621054576,98594.60338256013,128279.04169541904,141273.08468541922,134238.1681489306,128631.35254459614,132695.07495258085,144360.9284632546,139578.19582432148,143963.260909316,138799.68422212938,145437.38393115244,131889.5574234292,117423.50988128717,122696.16685694215,130084.25176096379,121964.28413818328,121191.28252329952,116850.8956516249,102621.71065955733
1063424,2718.494705773444,2169.108263021973,1860.1668000702484,1738.7691253937232,4105.036105757906,7583.060125724363,9804.26766747617,9763.8925486924,8166.28404240923,9417.242480125911,9145.263085635146,9037.529169410358,9875.552979049533,10232.797587181107,10111.941064134573,9744.212674529805,8722.508142966817,8761.307117171542,7875.624006744416,7616.395693008715,6371.947212321954,6539.400355386929,5647.309980691791,3895.5013187477543
1063430,10658.34377144681,11167.803777574709,8081.562284984883,6683.774427395279,8985.163554552697,15275.81888906837,26636.797174265685,20579.730022636733,20281.131696339224,21104.34763270057,28196.05959366691,30899.857015568756,30570.594956501165,31108.761001099818,31535.417239092698,32841.553061616534,30993.568516623433,29483.01597113971,25263.13208410064,25602.15344731599,25230.738686932404,23237.71187104712,20991.336191597824,14763.267884737528
1063431,7903.488253327665,6420.475419953181,3761.7372158503567,4394.045568739923,2781.1490752429,4740.313586047492,11799.60851444519,12492.405682326722,12060.399351940518,11658.234916364667,11290.428010285621,11459.120081495215,11493.894138975584,11319.179724570837,11254.42014543833,11081.36218680079,10600.1603845021,10456.822349767974,10603.596208854151,10441.07317447919,10294.778712651414,10504.020189103612,9142.688767380194,8298.510036057663
1063432,2000.147195509881,1837.3070755513204,745.4939829243498,562.4033147392015,732.5599365431227,1474.6492955745318,1657.3267486732175,3059.233160533415,2998.607749792842,2655.6149326811988,2736.7873744205376,2803.340319953926,2633.411351245125,3149.0456158166508,2901.9973933943584,3114.479710735468,3980.3823772969854,4868.129518891488,3807.787026800747,2927.9456625045036,3125.707103855878,2738.726189864145,2841.641055943722,2835.0247109599513
1063433,1193.8745531533227,1255.920703689239,339.31598284061437,1272.6423175909517,898.3079966792171,1822.0061611949086,3764.3648846222836,3189.099037054434,4059.439039214443,4020.928756413826,3811.0820366101552,3505.225584285973,3046.781485730151,3016.1797599297597,3350.4453571834383,2962.471300520889,3644.9059060993604,3481.626815492797,2028.7943020201158,2001.3416418580389,1909.6467520594363,1667.347871281163,2031.8532476958285,1630.2274389989987
1063434,972.0381638590248,341.53221156755484,182.69236902616373,925.2863618994163,580.1306950442653,745.6865563404435,1023.3236720613197,2004.9271093365696,1256.5109652224978,2730.07972812819,3014.6245842174676,934.7134109367837,1185.7236113642055,645.3760574422794,840.0036499178401,1036.2767780123459,1175.3529086009387,2373.377530235056,2495.2874613456793,1341.608477740237,1471.03370787263,1513.6073572374655,1451.741504244268,691.1508029051794
1063435,1238.0525861926321,1371.4963590529208,876.9144073213968,809.3901258233898,569.3252753697368,572.4419241548777,1155.754136707243,1834.306993441989,1541.7057075059906,1123.1077283384097,1759.6371705651786,1325.2025093363934,1352.7482228422055,1574.7093832979433,1609.1506121750226,1985.5444346576412,3148.351230788327,1319.6465938302058,1717.0470770676013,1255.8377711553467,906.5166699471888,693.7745667755328,1067.1117361080258,665.6122716435287
1063436,513.8376391108743,534.3366480664081,237.0252134149868,629.0636772390918,228.85896849404543,1315.4428690157013,1024.060751700866,1940.0476843015151,1141.9520284095424,1142.5958482315084,1013.1824206165659,2101.0670860609844,1698.2730387809427,1199.5570838817844,1885.935341690093,2026.5166413240595,1839.4981582368755,3197.14891682551,3336.720955657323,2997.690849259103,1481.1189416832574,1535.8751041166454,1722.1888605518325,1148.6938268110569
1063437,2074.4045867395016,1584.3682374747932,1679.1524175440513,1760.457817230264,1518.8423231428424,3096.600451853988,6296.975042899154,5832.401163032965,7059.5719774245235,5848.678420983349,5944.057127472512,6272.640060489561,5828.155069770066,5690.169485378027,6150.722420443373,6417.381756720248,8719.583575342114,8471.871579944689,7251.905400736683,6751.077933554167,4364.2392771097275,4385.566468347449,3992.245626165366,2945.9240922458202
