5.5 LINK ID,ITS LINK ID,도로등급,도로명,권역,연장(km),차선수,0~1시,1~2시,2~3시,3~4시,4~5시,5~6시,6~7시,7~8시,8~9시,9~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시
8896765,"1,090,046,700,109,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,방학로,서울특별시 도봉구,0.514,6,39,40,40,39,30,36,20,17,17,18,22,23,26,25,24,22,19,18,18,23,28,29,34,37
8896766,"1,100,032,804,110,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,방학로,서울특별시 노원구,0.514,6,31,33,34,33,29,31,27,19,9,12,12,12,12,11,10,10,10,11,11,12,15,19,22,26
8896767,"10,900,449,001,100,000,000",특별광역시도,덕릉로,서울특별시 도봉구,0.169,6,41,43,43,44,38,42,33,22,22,26,28,28,30,28,26,25,20,20,19,26,33,34,36,38
8896768,"11,000,236,021,090,000,000",특별광역시도,덕릉로,서울특별시 노원구,0.169,6,24,23,23,23,23,24,27,21,17,18,20,20,22,21,18,19,16,14,13,18,20,21,20,23
8896769,"10,900,053,011,090,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,노해로,서울특별시 도봉구,1.083,6,49,50,51,51,45,49,38,25,23,26,31,34,37,35,32,32,26,21,20,35,37,38,39,41
8896770,"10,900,065,021,090,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,노해로,서울특별시 도봉구,1.083,6,41,42,43,43,42,42,39,36,34,33,32,31,31,31,30,30,30,30,30,32,32,34,34,38
8896771,"107,002,090,010,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,한천로,서울특별시 성북구,0.391,6,31,32,33,32,26,30,24,21,21,22,20,21,22,21,20,20,21,21,23,24,25,26,25,29
8896772,"107,002,100,110,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,한천로,서울특별시 성북구,0.391,6,29,29,30,30,30,31,28,23,22,23,22,23,22,22,21,21,20,19,18,19,20,22,22,26
8896773,"107,001,940,110,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,장월로,서울특별시 성북구,0.868,2,17,20,22,22,20,22,18,15,15,15,14,15,15,15,14,14,13,13,13,14,15,15,16,17
8896774,"107,002,070,710,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,장월로,서울특별시 성북구,0.868,2,23,24,24,24,18,20,16,14,12,13,14,15,16,15,14,14,15,15,14,15,17,17,18,21
8896779,"124,002,860,812,400,000,000,000,000,000",특별광역시도,아리수로,서울특별시 강동구,0.163,4,36,36,36,37,36,33,33,37,36,37,34,33,33,34,33,33,32,32,31,32,33,35,36,38
8896780,"124,002,850,812,400,000,000,000,000,000",특별광역시도,아리수로,서울특별시 강동구,0.163,4,37,37,39,38,32,35,30,30,31,32,33,34,34,35,34,34,33,34,33,34,34,34,34,36
8896781,"124,005,530,012,400,000,000,000,000,000",특별광역시도,아리수로97길,서울특별시 강동구,0.273,4,29,30,31,33,31,32,28,28,27,27,28,28,28,27,28,26,26,27,27,27,26,26,27,29
8896782,"124,005,520,012,400,000,000,000,000,000",특별광역시도,아리수로97길,서울특별시 강동구,0.273,4,26,28,26,25,25,28,25,23,21,22,21,22,22,23,23,21,21,22,20,21,22,22,24,24
